option,month,expected_demand,expected_commitment,expected_monthly_cost
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",1,2250.0,2250.0,34057.8
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",2,2273.18,2250.0,34443.81
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",3,2305.62,2250.0,34983.93
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",4,2351.04,2250.0,35740.09
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",5,2414.73,2250.0,36800.69
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",6,2504.11,2250.0,38288.85
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",7,2629.56,2893.02,43791.07
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",8,2805.41,2893.02,44053.51
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",9,3051.03,2893.02,47525.21
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",10,3392.15,2893.02,52888.85
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",11,3861.46,2893.02,60447.39
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",12,4497.87,2893.02,70836.4
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",13,5342.88,5877.67,88969.18
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",14,6432.37,5877.67,98719.21
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",15,7783.24,5877.67,120826.46
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",16,9378.76,5877.67,147297.11
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",17,11161.99,5877.67,176963.65
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",18,13047.03,5877.67,208343.86
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",19,14945.93,16441.05,248864.85
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",20,16794.35,16441.05,255220.02
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",21,18559.17,16441.05,284132.62
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",22,20228.47,16441.05,311927.23
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",23,21796.0,16441.05,338027.4
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",24,23250.58,16441.05,362246.86
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",25,24574.39,27032.34,409183.09
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",26,25747.67,27032.34,413082.88
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",27,26755.59,27032.34,425459.85
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",28,27593.21,27032.34,437193.79
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",29,28267.06,27032.34,446970.65
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",30,28793.21,27032.34,454735.4
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",31,29193.51,32113.38,486093.76
"Optimized: 7.5% initial, 6-month review, true-up only, 10% buffer",32,29491.68,32113.38,486093.76
